,time_motor,motor_x,motor_y,time_cam,cam_x,cam_y,time_motor_norm,motor_x_norm,motor_y_norm,time_cam_norm,cam_x_norm,cam_y_norm,motor_x_linear,motor_y_linear,motor_x_poly,motor_y_poly,motor_x_stats,motor_y_stats,motor_x_linear_err,motor_y_linear_err,motor_x_poly_err,motor_y_poly_err,motor_x_stats_err,motor_y_stats_err
37,1722347610713913279,14000,9000,1722347611566929391,194,117,0.7061018750616671,0.75,0.2,0.7060294996089026,0.7417218543046358,0.23316062176165803,0.7518193769985182,0.20512008795271314,0.7517516052315809,0.20206994598036043,0.7562109753361181,0.21782901532067642,0.0018193769985181962,0.005120087952713126,0.0017516052315809105,0.0020699459803604214,0.006210975336118141,0.017829015320676406
38,1722347614003844410,14000,11000,1722347614866325184,196,153,0.7233286095517494,0.75,0.4,0.7232931373440954,0.7350993377483444,0.41968911917098445,0.7480251142650791,0.40203772083967515,0.7493135083069448,0.3966816823463797,0.7494421922303693,0.41415700179762877,-0.0019748857349208837,0.002037720839675128,-0.0006864916930552356,-0.0033183176536203396,-0.0005578077696306583,0.014157001797628743
39,1722347617287694523,14000,13000,1722347618243028642,197,190,0.7405235026207367,0.75,0.6,0.7409612768749033,0.7317880794701987,0.6113989637305699,0.7476961802890172,0.6042533730090712,0.7499286979895539,0.6000553072777591,0.746057800677495,0.6159385434544964,-0.002303819710982813,0.0042533730090712485,-7.130201044613926e-05,5.530727775915345e-05,-0.003942199322504947,0.015938543454496412
40,1722347620668031918,14000,15000,1722347621465475628,198,226,0.7582236223107381,0.75,0.8,0.75782229048994,0.7284768211920529,0.7979274611398963,0.7472847096081836,0.8010081390876298,0.750734262032446,0.7993799128748275,0.7426734091246205,0.8122665299314488,-0.002715290391816394,0.0010081390876297558,0.0007342620324459759,-0.0006200871251725859,-0.007326590875379457,0.012266529931448722
41,1722347623890689720,14000,17000,1722347624829350308,200,262,0.7750981002547709,0.75,1.0,0.7754233051924848,0.7218543046357616,0.9844559585492227,0.7434904468747447,0.9979257719745918,0.7491035556312798,0.9984304879116982,0.735904626018872,1.008594516408401,-0.006509553125255252,-0.0020742280254082424,-0.0008964443687201618,-0.0015695120883018054,-0.014095373981128034,0.00859451640840092
42,1722347628927937703,16000,7000,1722347629673654912,155,79,0.8014741337061057,0.875,0.0,0.8007704672213062,0.8708609271523179,0.03626943005181347,0.8806118722688189,-0.008745389026850008,0.8744406505756869,5.3987553399722765e-05,0.8882022458982181,0.010593918483893398,0.005611872268818874,-0.008745389026850008,-0.000559349424313127,5.3987553399722765e-05,0.013202245898218057,0.010593918483893398
43,1722347632102589002,16000,9000,1722347632965824216,157,117,0.8180972400414183,0.875,0.2,0.8179962933400636,0.8642384105960265,0.23316062176165803,0.8769826829449228,0.19909401604178723,0.8746580943965775,0.1986596459573703,0.8814334627924694,0.21782901532067642,0.0019826829449227645,-0.000905983958212786,-0.00034190560342250986,-0.0013403540426297211,0.006433462792469369,0.017829015320676406
44,1722347635387062298,16000,11000,1722347636305296339,158,154,0.8352953962206813,0.875,0.4,0.8354696249968963,0.8609271523178808,0.42487046632124353,0.8766537489688607,0.4013096682111834,0.8766330493360982,0.39759502929698237,0.878049071239595,0.4196105569775441,0.0016537489688607243,0.0013096682111833902,0.0016330493360982024,-0.0024049707030176504,0.0030490712395949693,0.019610556977544102
45,1722347638733148320,16000,13000,1722347639532039263,160,191,0.8528161689015517,0.875,0.6,0.8523531165206222,0.8543046357615894,0.616580310880829,0.8729420229401933,0.6036881871889831,0.874687893949907,0.6001048004605232,0.8712802881338463,0.6213920986344118,-0.0020579770598067038,0.0036881871889831164,-0.0003121060500930195,0.00010480046052319114,-0.0037197118661537187,0.021392098634411827
46,1722347641959860405,16000,15000,1722347642863604557,161,227,0.8697118758786576,0.875,0.8,0.869785076774915,0.8509933774834437,0.8031088082901554,0.8725305522593597,0.8004429532675416,0.8760958835144241,0.7983979433576991,0.867895896580972,0.8177200851113641,-0.002469447740640285,0.00044295326754151265,0.0010958835144241341,-0.001602056642300953,-0.007104103419028007,0.017720085111364026
47,1722347645285911727,16000,17000,1722347646263956867,163,264,0.8871277428810364,0.875,1.0,0.8875769556929912,0.8443708609271523,0.9948186528497409,0.8688188262306922,1.0028214722453412,0.8751391906153831,1.0017668220360267,0.8611271134752232,1.019501626768232,-0.006181173769307824,0.002821472245341239,0.0001391906153831446,0.0017668220360267384,-0.013872886524776806,0.019501626768231972
48,1722347650368837253,18000,7000,1722347651141269685,116,79,0.913742953042791,1.0,0.0,0.9130968286921032,1.0,0.03626943005181347,1.0125407623204348,-0.015097194554582728,1.000831272108639,-0.00027595171546404313,1.020193516460318,0.010593918483893398,0.012540762320434773,-0.015097194554582728,0.0008312721086389807,-0.00027595171546404313,0.020193516460317973,0.010593918483893398
49,1722347653567610699,18000,9000,1722347654545857415,119,118,0.930492367742976,1.0,0.2,0.9309108688667014,0.9900662251655629,0.23834196891191708,1.0056113176487043,0.19836596341329557,0.9992490689927637,0.2023042228261943,1.010040341801695,0.22328257050059175,0.0056113176487042615,-0.0016340365867044404,-0.0007509310072363329,0.002304222826194302,0.010040341801694996,0.023282570500591737
50,1722347656970775203,18000,11000,1722347657798354137,121,155,0.948312014721015,1.0,0.4,0.9479291136200704,0.9834437086092715,0.43005181347150256,1.0018995916200368,0.4007444823910951,0.9988895581760936,0.4001756108814123,1.0032715586959462,0.42506411215745943,0.0018995916200368335,0.0007444823910950915,-0.0011104418239064051,0.00017561088141226922,0.0032715586959461973,0.025064112157459406
51,1722347660235360154,18000,13000,1722347661071725117,122,192,0.9654060315657085,1.0,0.6,0.9650565800766577,0.9801324503311258,0.6217616580310881,1.001570657643975,0.6029601345604914,1.001053635589936,0.6013778993669533,0.9998871671430719,0.6268456538143271,0.0015706576439749043,0.0029601345604913787,0.0010536355899359862,0.0013778993669533168,-0.0001128328569280912,0.02684565381432713
52,1722347663490952002,18000,15000,1722347664402228207,124,228,0.9824529587323952,1.0,0.8,0.9824829824936351,0.9735099337748344,0.8082901554404145,0.9977763949105357,0.7998777674474533,0.9997661219019386,0.798526444761544,0.9931183840373232,0.8231736402912795,-0.0022236050894642867,-0.0001222325525467305,-0.00023387809806141302,-0.001473555238456048,-0.006881615962676779,0.02317364029127944
53,1722347666842054752,18000,17000,1722347667750049492,126,265,1.0,1.0,1.0,1.0,0.9668874172185431,1.0,0.9940646688818683,1.0022562864252529,0.9993279200926776,1.0005026121306213,0.9863496009315745,1.024955181948147,-0.005935331118131715,0.0022562864252528847,-0.0006720799073224315,0.0005026121306213049,-0.013650399068425467,0.024955181948147054
